Time,Dynamic,LUT as Logic,Signals,LUT as Logic + Signals
1170000.0,10181.859,1646.5,2395.75,4042.25
1180000.0,9883.703,1191.12,1563.4,2754.52
1190000.0,10962.922,1227.435,1810.1,3037.535
1200000.0,8927.562,755.92,886.8,1642.7199999999998
1210000.0,8847.641,627.095,1044.2,1671.295
1220000.0,12722.953,2073.05,3201.75,5274.8
1230000.0,12867.547,2230.585,3196.1,5426.6849999999995
1240000.0,10167.0,1763.69,2408.5,4172.1900000000005
1250000.0,9053.797,783.33,1157.3,1940.63
1260000.0,11678.781,1450.865,2311.55,3762.415
1270000.0,8924.781,699.06,871.1,1570.1599999999999
1280000.0,9546.953,789.875,1469.95,2259.825
1290000.0,11526.031,1705.825,2494.95,4200.775
1300000.0,13833.328,2562.005,3801.05,6363.055
1310000.0,9141.672,1232.315,1972.75,3205.065
1320000.0,8883.797,724.885,1096.3,1821.185
1330000.0,10751.562,1195.7,1643.95,2839.65
1340000.0,9084.297,764.04,962.7,1726.74
1350000.0,9296.703,713.08,1332.65,2045.73
1360000.0,12788.094,2102.21,3246.7,5348.91
1370000.0,13033.016,2283.655,3299.35,5583.005
1380000.0,10473.734,1833.19,2602.45,4435.639999999999
1390000.0,9058.906,800.565,1146.95,1947.515
1400000.0,12247.547,1632.115,2687.8,4319.915
1410000.0,9481.172,958.725,1160.4,2119.125
1420000.0,11627.719,979.11,1805.55,2784.66
1430000.0,13871.656,1578.75,2757.85,4336.6
1440000.0,13799.266,2240.38,3761.3,6001.68
1450000.0,10169.188,1605.35,2396.35,4001.7
1460000.0,9738.938,1144.95,1512.75,2657.7
1470000.0,11565.781,1417.305,2227.6,3644.9049999999997
1480000.0,9060.906,803.905,953.8,1757.705
1490000.0,9629.359,831.785,1505.95,2337.735
1500000.0,12591.844,2065.575,3082.75,5148.325
1510000.0,13027.828,2300.31,3284.25,5584.5599999999995
1520000.0,10762.828,1877.98,2813.45,4691.43
1530000.0,9001.484,786.845,1147.0,1933.845
1540000.0,11074.672,1278.655,1884.15,3162.8050000000003
1550000.0,9131.172,773.295,986.7,1759.995
1560000.0,10342.797,1060.355,1954.65,3015.005
1570000.0,12777.047,2182.44,3132.95,5315.389999999999
1580000.0,13001.875,2324.575,3215.9,5540.475
1590000.0,9469.672,1325.005,2165.6,3490.605
1600000.0,9022.422,776.14,1151.1,1927.2399999999998
1610000.0,11481.172,1459.025,2108.0,3567.025
1620000.0,9052.406,780.49,959.35,1739.8400000000001
1630000.0,10280.891,1058.085,1895.05,2953.135
1640000.0,12040.422,1924.99,2718.65,4643.64
1650000.0,13469.906,2456.285,3552.2,6008.485
1660000.0,11418.594,2081.53,3201.1,5282.63
1670000.0,9062.609,833.495,1149.6,1983.0949999999998
1680000.0,12121.703,1609.53,2593.5,4203.03
1690000.0,9478.656,947.495,1149.95,2097.445
1700000.0,11390.859,922.135,1648.15,2570.285
