Time,count = reset,count = 0,count = 1,count = 2,count = 3,count = 4,count = 5,count = 6,count = 7,count = 8,count = 9,count = 10,count = 11,count = 12,count = 13,count = 14,count = 15,count = 16,count = 17,count = 18,count = 19,count = 20,count = 21,count = 22,count = 23,count = 24,count = 25,count = 26,count = 27,count = 28,count = 29,count = 30
740000.0,,6548.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750000.0,,6552.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760000.0,,5411.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770000.0,,5685.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780000.0,,5591.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790000.0,,5200.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800000.0,,5623.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810000.0,,8474.594000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820000.0,,6206.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830000.0,,5392.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840000.0,,5721.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850000.0,,7854.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860000.0,,11830.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870000.0,,13546.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880000.0,,13872.781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890000.0,,10419.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900000.0,,9967.155999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910000.0,,11461.921999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920000.0,,9360.030999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930000.0,,10101.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940000.0,,12738.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950000.0,,12743.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960000.0,,10303.780999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970000.0,,8996.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980000.0,,12373.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990000.0,,9196.219000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000000.0,,10153.328000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010000.0,,12540.594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020000.0,,12947.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030000.0,,9682.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040000.0,,8931.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050000.0,,11599.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060000.0,,9269.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070000.0,,9428.844000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080000.0,,12774.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090000.0,,12306.046999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100000.0,,10816.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110000.0,,8902.780999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120000.0,,12532.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130000.0,,9770.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
